id,title,5th,10th,first_positive_5,second_view_1,third_rating_people_5,first_positive_5_1,second_view_1_1,third_rating_people_5_1,first_positive_5_episode,second_view_1_episode,third_rating_people_5_episode,positive,view,rating_people,positive_1,view_1,rating_people_1,positive_episode,view_episode,rating_people_episode,comment_writer_count,comment_writer,pos_keyword_1,pos_keyword_2,pos_keyword_3,neg_keyword_1,neg_keyword_2,neg_keyword_3,label,first_positive_5_story,second_view_1_story,third_rating_people_5_story,positive_story,view_story,rating_people_story,first_positive_5_omnibus,second_view_1_omnibus,third_rating_people_5_omnibus,positive_omnibus,view_omnibus,rating_people_omnibus
8326,반쪽짜리 이야기,0.5256208316406378,0.5723317708627143,28.0,1123,285.94,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,31.0,1123,353.83000000000004,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,94,(zld3****),붐업,ㅇb,최곱니다,남친은,두손,내리고,2,,,,,,,,,,,,
8326,반쪽짜리 이야기,0.5256208316406378,0.5723317708627143,28.0,1123,285.94,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,22.0,348,296.02,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,94,(zld3****),붐업,ㅇb,최곱니다,남친은,두손,내리고,2,,,,,,,,,,,,
8326,반쪽짜리 이야기,0.5256208316406378,0.5723317708627143,28.0,1123,285.94,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,30.0,273,283.85,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,94,(zld3****),붐업,ㅇb,최곱니다,남친은,두손,내리고,2,,,,,,,,,,,,
8326,반쪽짜리 이야기,0.5256208316406378,0.5723317708627143,28.0,1123,285.94,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,24.0,217,294.15000000000003,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,94,(zld3****),붐업,ㅇb,최곱니다,남친은,두손,내리고,2,,,,,,,,,,,,
8326,반쪽짜리 이야기,0.5256208316406378,0.5723317708627143,28.0,1123,285.94,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,28.0,341,285.94,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,94,(zld3****),붐업,ㅇb,최곱니다,남친은,두손,내리고,2,,,,,,,,,,,,
8328,천짜의 동동다리,0.461669906990955,0.0,17.0,441,184.95,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,32.0,441,256.0,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,163,(zzz_****),붐업,ㅇb,붐베로,10군데,안올리면,ㅈㅅ,2,,,,,,,,,,,,
8328,천짜의 동동다리,0.461669906990955,0.0,17.0,441,184.95,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,25.0,132,238.08,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,163,(zzz_****),붐업,ㅇb,붐베로,10군데,안올리면,ㅈㅅ,2,,,,,,,,,,,,
8328,천짜의 동동다리,0.461669906990955,0.0,17.0,441,184.95,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,17.0,111,178.88,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,163,(zzz_****),붐업,ㅇb,붐베로,10군데,안올리면,ㅈㅅ,2,,,,,,,,,,,,
8328,천짜의 동동다리,0.461669906990955,0.0,17.0,441,184.95,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,38.0,102,190.12,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,163,(zzz_****),붐업,ㅇb,붐베로,10군데,안올리면,ㅈㅅ,2,,,,,,,,,,,,
8328,천짜의 동동다리,0.461669906990955,0.0,17.0,441,184.95,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,17.0,98,184.95,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,163,(zzz_****),붐업,ㅇb,붐베로,10군데,안올리면,ㅈㅅ,2,,,,,,,,,,,,
